Tail,Head,Weight
0,1,5
1,3,4
2,1,9
3,5,6
4,0,14
5,4,2
4,2,7
5,9,13
6,0,12
7,5,8
8,6,4
8,7,7
9,2,12
7,1,8
3,9,6
10,0,7
11,8,5
12,4,1
13,3,3
0,11,5
9,14,4
8,12,8
4,15,6
6,16,7
14,4,19
15,8,8
16,7,12
17,9,4
18,10,8
19,11,4
16,8,6
15,10,8
19,5,5
17,0,12
23,8,45
20,15,4
21,18,8
22,16,17
23,22,16
24,26,4
25,4,9
26,9,18
20,15,13
21,6,3
23,8,4
24,15,5
26,16,4
27,15,17
28,14,13
29,23,17
28,8,14
22,7,5
14,22,9
19,24,8
6,25,2
49,7,4
30,1,5
31,15,7
32,4,6
33,18,16
33,14,17
35,22,2
34,26,3
33,27,17
36,18,15
37,4,17
38,3,24
34,5,12
38,34,10
37,26,14
36,18,18
36,38,24
35,5,1
39,24,5
39,5,7
40,4,7
41,9,9
12,6,6
42,44,4
43,18,32
42,40,4
44,16,8
45,15,7
45,44,2
40,5,7
46,28,17
47,24,16
48,16,4
49,5,2
48,7,3
49,4,5
35,5,18
48,49,13
15,48,14
24,0,16
49,50,14
50,52,1
51,50,4
52,54,8
53,49,9
54,53,7
53,51,4
54,58,1
55,49,12
56,54,7
57,55,9
57,56,10
58,51,4
56,50,6
52,58,8
59,49,15
60,57,7
61,53,9
62,52,26
49,60,4
58,63,3
57,61,4
53,64,20
55,65,11
63,53,2
64,57,5
65,56,9
66,58,19
67,59,16
68,60,5
65,57,18
64,59,17
68,54,6
66,49,4
72,57,4
69,64,5
70,67,32
71,65,4
72,71,4
73,75,5
74,53,7
75,58,8
69,64,6
70,55,4
72,57,5
73,64,4
75,65,3
76,64,15
77,63,7
78,72,5
77,57,14
71,56,16
63,71,8
68,73,12
55,74,10
98,56,7
79,50,4
80,64,6
81,53,8
82,67,7
82,63,8
84,71,7
83,75,5
82,76,5
85,67,8
86,53,6
87,52,8
83,54,7
87,83,6
86,75,4
85,67,5
85,87,4
84,54,3
88,73,5
88,54,5
89,53,5
90,58,4
61,55,7
91,93,6
92,67,8
91,89,4
93,65,6
94,64,5
94,93,4
89,54,2
95,77,1
96,73,5
97,65,8
98,54,4
97,56,6
98,53,4
84,54,5
97,98,8
64,97,8
73,49,9
99,56,12
99,14,4
99,12,7
99,1,6
98,6,4
97,16,12
84,4,15
75,13,4
76,2,18
72,8,17
81,3,6
64,15,7
55,47,9
48,12,4
95,16,7
76,45,16
78,19,17
56,0,12
76,4,17
78,45,16
96,5,14
62,12,13
